id,name,gender,age,template,grades,subject,G10.semester1,G10.semester2,G10.yearAvg,G10.total,G11.semester1,G11.semester2,G11.yearAvg,G11.total,G12.semester1,G12.semester2,G12.yearAvg,G12.total
70,Armin D'Alessandro,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,73,38,56,111,49,44,47,93,44,53,49,97
71,Estrellita McAleese,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,45,50,100,41,64,53,105,90,94,92,184
72,Nertie Healings,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,52,42,47,94,26,3,15,29,69,26,48,95
73,Junette Boylin,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,94,4,49,98,61,74,68,135,69,73,71,142
74,Francoise Threlkeld,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,61,14,38,75,4,34,19,38,7,22,15,29
75,Lizzy Claque,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,8,72,40,80,1,20,11,21,37,95,66,132
76,Dylan Goodricke,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,83,75,79,158,100,57,79,157,59,47,53,106
77,Alic Burgyn,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,59,59,117,21,64,43,85,88,30,59,118
78,Birk Mosey,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,44,35,40,79,2,35,19,37,63,20,42,83
79,Gilda MacDunleavy,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,29,62,46,91,54,84,69,138,31,37,34,68
80,Christiana McCambridge,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,96,72,84,168,77,54,66,131,12,4,8,16
81,Ulric Scullard,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,97,49,73,146,24,75,50,99,60,48,54,108
82,Nikolai Mithan,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,48,35,70,15,76,46,91,6,87,47,93
83,Christiano Rushworth,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,85,31,58,116,59,72,66,131,92,70,81,162
84,Laurent Lilburne,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,47,13,30,60,84,64,74,148,46,9,28,55
85,Meryl Goodey,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,89,39,64,128,93,98,96,191,43,2,23,45
86,Dion Pitney,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,72,43,86,12,6,9,18,23,60,42,83
87,Vince Rockliffe,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,72,40,56,112,1,17,9,18,47,96,72,143
88,Coletta Rolfi,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,31,71,51,102,18,32,25,50,33,72,53,105
89,Deanna Gear,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,86,48,67,134,32,42,37,74,66,11,39,77
90,Ugo Deerr,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,87,37,62,124,27,76,52,103,36,97,67,133
91,Zerk Longfoot,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,6,14,28,25,31,28,56,39,68,54,107
92,Margette Andretti,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,80,91,86,171,68,49,59,117,77,20,49,97
93,Krystalle Shury,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,0,7,14,86,2,44,88,34,33,34,67
94,Lief Cawdron,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,18,15,17,33,55,97,76,152,70,93,82,163
95,Burch Wardingley,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,66,50,58,116,0,37,19,37,80,9,45,89
96,Barn Huggon,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,71,6,39,77,74,16,45,90,70,26,48,96
97,Kym Peert,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,54,27,41,81,35,80,58,115,56,100,78,156
98,Brockie Di Bartolomeo,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,50,71,61,121,74,8,41,82,53,78,66,131
99,Brew Stolz,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,8,10,9,18,47,36,42,83,87,73,80,160
100,Chantalle Anthoin,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,49,82,66,131,85,38,62,123,36,3,20,39
101,Leoine Beekman,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,0,91,46,91,31,97,64,128,50,40,45,90
102,Franklin Deeming,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,97,51,74,148,27,26,27,53,10,2,6,12
103,Marris Kondratenko,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,29,87,58,116,77,62,70,139,61,51,56,112
104,Rafi Shevlan,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,45,40,43,85,79,93,86,172,64,18,41,82
105,Natalee Dorrell,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,49,70,60,119,7,24,16,31,99,5,52,104
106,Marigold Roblin,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,23,56,40,79,27,75,51,102,81,9,45,90
107,Avis Kubica,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,19,17,33,46,55,51,101,69,100,85,169
108,Shermy Campey,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,89,82,86,171,55,50,53,105,62,65,64,127
109,Jerry Bishop,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,0,7,14,11,17,14,28,56,47,52,103
110,Sky Mapother,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,59,4,32,63,52,28,40,80,80,88,84,168
111,Blanche Biesinger,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,82,38,60,120,35,63,49,98,90,94,92,184
112,Jocelin Joerning,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,25,88,57,113,69,40,55,109,57,54,56,111
113,Sarge Baudasso,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,94,91,93,185,87,1,44,88,16,76,46,92
114,Hobey Mattiazzi,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,7,49,28,56,76,68,72,144,63,70,67,133
115,Borden Ibbitt,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,48,83,66,131,35,24,30,59,42,31,37,73
116,Danell Olivelli,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,64,60,119,32,68,50,100,37,93,65,130
117,Boony Vakhonin,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,98,11,55,109,18,31,25,49,23,71,47,94
118,Tripp Wogan,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,10,10,10,20,45,59,52,104,69,59,64,128
119,Bail King,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,79,73,76,152,2,40,21,42,9,60,35,69
120,Vinny Curley,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,32,100,66,132,87,47,67,134,11,15,13,26
121,Ernst Champ,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,27,85,56,112,75,31,53,106,24,38,31,62
122,Fredia Brame,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,62,87,75,149,53,16,35,69,19,3,11,22
123,Daile Maasze,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,51,55,109,27,17,22,44,71,56,64,127
124,Hubert Hrus,Male,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,56,78,67,134,55,18,37,73,42,58,50,100
125,Brose Reader,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,16,56,36,72,38,82,60,120,87,79,83,166
126,Arlyne Mayes,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,69,47,58,116,32,98,65,130,73,60,67,133
127,Garner Allgood,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,7,33,65,50,29,40,79,33,100,67,133
128,Riki Palluschek,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,73,37,55,110,27,38,33,65,57,22,40,79
129,Ermengarde McConaghy,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,60,61,61,121,18,86,52,104,34,34,34,68
130,Skip Rodenborch,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,83,86,85,169,77,28,53,105,40,30,35,70
131,Beck Baptista,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,74,65,70,139,99,49,74,148,98,67,83,165
132,Toddy Simonel,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,62,69,66,131,30,21,26,51,68,18,43,86
133,Cletus Brigstock,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,94,63,79,157,55,10,33,65,39,11,25,50
134,Ogdon Kirtlan,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,81,72,77,153,6,42,24,48,49,58,54,107
135,Carilyn Henrie,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,0,38,76,7,14,11,21,82,20,51,102
136,Paule MacAiline,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,64,45,55,109,4,39,22,43,74,97,86,171
137,Andres Crates,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,62,100,81,162,92,85,89,177,86,28,57,114
