id,name,gender,age,grade
287,Delainey Claussen,Male,17,73
288,Dotti Attenburrow,Female,21,25
289,Maribelle Pawling,Female,14,93
290,Doroteya Riccardelli,Female,18,34
291,Win Ream,Male,18,83
292,Rosamond Godball,Female,14,14
293,Gib Georgeau,Male,17,86
294,Orlan Lothlorien,Male,16,63
295,Minor Swatten,Male,22,98
296,Giffie Wingar,Male,14,67
297,Nevile Berisford,Male,20,64
298,Clare Mesant,Male,15,67
299,Gavan Realff,Male,19,47
300,Lorenzo Dahlberg,Male,17,74
